"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","2,091.80","2,096.00","2,103.30","2,087.50","8.30K","-0.56%"
"12/28/2023","2,103.50","2,109.10","2,118.00","2,094.60","8.11K","-0.44%"
"12/27/2023","2,112.90","2,098.60","2,115.20","2,092.80","6.47K","1.12%"
"12/26/2023","2,089.60","2,085.40","2,100.00","2,084.90","3.86K","0.04%"
"12/22/2023","2,088.80","2,080.00","2,102.30","2,077.90","6.24K","0.86%"
"12/21/2023","2,071.00","2,064.10","2,077.60","2,063.10","3.26K","0.18%"
"12/20/2023","2,067.30","2,073.40","2,075.80","2,060.30","3.74K","-0.22%"
"12/19/2023","2,071.80","2,060.70","2,080.50","2,054.50","9.60K","0.57%"
"12/18/2023","2,060.10","2,052.90","2,067.30","2,048.90","7.03K","0.24%"
"12/15/2023","2,055.20","2,070.40","2,078.90","2,048.80","6.17K","-0.44%"
"12/14/2023","2,064.20","2,063.00","2,082.00","2,058.90","9.22K","2.36%"
"12/13/2023","2,016.70","2,014.50","2,062.50","2,007.60","10.03K","0.21%"
"12/12/2023","2,012.50","2,016.80","2,031.20","2,012.30","5.79K","-0.02%"
"12/11/2023","2,013.00","2,038.80","2,043.00","2,010.70","10.54K","-1.03%"
"12/08/2023","2,033.90","2,065.00","2,069.70","2,029.90","10.06K","-1.54%"
"12/07/2023","2,065.80","2,062.80","2,076.30","2,056.00","8.52K","-0.07%"
"12/06/2023","2,067.30","2,056.70","2,072.30","2,055.00","6.38K","0.56%"
"12/05/2023","2,055.70","2,068.10","2,078.80","2,047.00","10.39K","-0.29%"
"12/04/2023","2,061.60","2,114.10","2,171.50","2,058.30","19.47K","-2.26%"
"12/01/2023","2,109.20","2,076.50","2,115.00","2,072.00","10.49K","1.56%"
"11/30/2023","2,076.70","2,084.90","2,086.70","2,070.70","2.66K","-0.47%"
"11/29/2023","2,086.60","2,082.00","2,091.20","2,075.80","6.22K","1.28%"
"11/28/2023","2,060.20","2,035.10","2,064.20","2,031.60","195.42K","1.34%"
"11/27/2023","2,033.00","2,023.00","2,039.40","2,022.00","161.67K","0.47%"
"11/24/2023","2,023.50","2,012.10","2,025.00","2,011.30","96.93K","1.02%"
"11/23/2023","2,003.00","1,991.20","2,004.50","1,990.90","214.88K","-0.51%"
"11/22/2023","2,013.20","2,020.60","2,028.40","2,008.90","71.42K","-0.43%"
"11/21/2023","2,021.80","2,000.10","2,030.00","1,999.90","62.25K","1.07%"
"11/20/2023","2,000.40","2,001.20","2,007.60","1,987.30","35.71K","-0.22%"
"11/17/2023","2,004.80","2,007.50","2,016.50","2,001.40","19.85K","-0.13%"
"11/16/2023","2,007.50","1,983.80","2,011.10","1,979.30","36.93K","1.17%"
"11/15/2023","1,984.30","1,987.00","1,999.10","1,979.00","17.17K","-0.11%"
"11/14/2023","1,986.40","1,970.40","1,995.20","1,959.00","19.88K","0.82%"
